brier,reliability,resolution,uncertainty,base_rate,n,episode,asset,method,mapping,kind
0.3592992555401662,0.12485454785683042,0.01578081717451523,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,autoencoder,exponential,random
0.24982686980609417,0.0,0.0,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,autoencoder,exponential,constant
0.4027139238130982,0.2339675891872518,0.07847358121330725,0.25,0.5,146,COVID-19,USOIL,cnn_autoencoder,exponential,model
0.3094506474010133,0.06471221205047105,0.004827136333985648,0.25,0.5,146,COVID-19,USOIL,cnn_autoencoder,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,USOIL,cnn_autoencoder,exponential,constant
0.21449849878025895,0.043680838345049676,0.07677756033920416,0.25,0.5,146,COVID-19,GOLD,cnn_autoencoder,exponential,model
0.3044778570088197,0.05715071118816328,0.005381604696673188,0.25,0.5,146,COVID-19,GOLD,cnn_autoencoder,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,GOLD,cnn_autoencoder,exponential,constant
0.2868442693905817,0.06610714480973903,0.03083015927977839,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,cnn_autoencoder,exponential,model
0.29619329986149584,0.057760826711862744,0.012052746999076637,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,cnn_autoencoder,exponential,random
0.24982686980609417,0.0,0.0,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,cnn_autoencoder,exponential,constant
0.1417831675736536,0.01534263498338976,0.12237442922374432,0.25,0.5,146,COVID-19,USOIL,dagmm,exponential,model
0.3245566710452243,0.0870446428647934,0.012100456621004566,0.25,0.5,146,COVID-19,USOIL,dagmm,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,USOIL,dagmm,exponential,constant
0.37381544379808596,0.18150978865288908,0.05580560991519895,0.25,0.5,146,COVID-19,GOLD,dagmm,exponential,model
0.3480132294989679,0.10791427801478133,0.009654272667971293,0.25,0.5,146,COVID-19,GOLD,dagmm,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,GOLD,dagmm,exponential,constant
0.40136989265927986,0.17506951784759686,0.02907577331486611,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,dagmm,exponential,model
0.3353207236842105,0.09172464250133645,0.009009983841181901,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,dagmm,exponential,random
0.24982686980609417,0.0,0.0,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,dagmm,exponential,constant
0.35186010508538185,0.1196005588322312,0.018525766470971945,0.25,0.5,146,COVID-19,USOIL,deep_svdd,exponential,model
0.30053715518859075,0.06729824177104758,0.01562296151337247,0.25,0.5,146,COVID-19,USOIL,deep_svdd,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,USOIL,deep_svdd,exponential,constant
0.20811831488084068,0.028416650478122092,0.06836268754076974,0.25,0.5,146,COVID-19,GOLD,deep_svdd,exponential,model
0.31977153312066053,0.08692400913560269,0.01601435094585779,0.25,0.5,146,COVID-19,GOLD,deep_svdd,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,GOLD,deep_svdd,exponential,constant
0.2746385907202216,0.049827135576128674,0.023812615420129263,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,deep_svdd,exponential,model
0.2925575657894737,0.0635794439787141,0.022935422437673124,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,deep_svdd,exponential,random
0.24982686980609417,0.0,0.0,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,deep_svdd,exponential,constant
0.19235550759992495,0.03775548828383922,0.0939334637964775,0.25,0.5,146,COVID-19,USOIL,hybrid2,arccosh,model
0.3325319009194971,0.10278332339987101,0.01836268754076973,0.25,0.5,146,COVID-19,USOIL,hybrid2,arccosh,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,USOIL,hybrid2,arccosh,constant
0.23870566710452243,0.033030220432281265,0.0482061317677756,0.25,0.5,146,COVID-19,GOLD,hybrid2,arccosh,model
0.3796326702946144,0.1449792147044131,0.013926940639269405,0.25,0.5,146,COVID-19,GOLD,hybrid2,arccosh,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,GOLD,hybrid2,arccosh,constant
0.28493983725761773,0.05790221637021918,0.026910203139427515,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,hybrid2,arccosh,model
0.30865867382271467,0.07753950861398647,0.019755597876269616,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,hybrid2,arccosh,random
0.24982686980609417,0.0,0.0,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,hybrid2,arccosh,constant
0.22547616813661098,0.08065999104947916,0.10521852576647098,0.25,0.5,146,COVID-19,USOIL,hybrid2,arctan,model
0.336566428973541,0.11457236628292777,0.025929549902152644,0.25,0.5,146,COVID-19,USOIL,hybrid2,arctan,random
