pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,US Treasury yield 10 year,exponential,0.825,0.0,0.0,0.0,0.4175664451827242,0.0,7.0,165.0,28.0,200,28,172,0.1504727907478809,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US10Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,US Treasury yield 10 year,arctan,0.86,0.0,0.0,0.0,0.40656146179402,0.0,0.0,172.0,28.0,200,28,172,0.07728415206074714,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US10Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,US Treasury yield 10 year,arccosh,0.77,0.0,0.0,0.0,0.3783222591362126,0.0,18.0,154.0,28.0,200,28,172,0.1011441878974437,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US10Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US10Y,US Treasury yield 10 year,ensemble,0.815,0.0,0.0,0.0,0.3924418604651163,0.0,9.0,163.0,28.0,200,28,172,1.61364895490151,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US10Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
CNN autoencoder,US20Y,US Treasury yield 20 year,arctan,0.7,0.1,0.0192307692307692,0.032258064516129,0.2457120582120582,,,,,200,52,148,0.0079934103414416,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US20Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US20Y,US Treasury yield 20 year,cosine,0.705,0.0,0.0,0.0,0.2791060291060291,,,,,200,52,148,0.0509613454341888,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US20Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US20Y,US Treasury yield 20 year,arccosh,0.66,0.0,0.0,0.0,0.248570686070686,,,,,200,52,148,0.0235000494867563,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US20Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US20Y,US Treasury yield 20 year,exponential,0.715,0.0,0.0,0.0,0.2263513513513513,,,,,200,52,148,0.0753598287701606,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US20Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US20Y,US Treasury yield 20 year,arctan,0.725,0.0,0.0,0.0,0.4449064449064449,,,,,200,52,148,0.0358149729669094,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US20Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US20Y,US Treasury yield 20 year,exponential,0.675,0.0,0.0,0.0,0.4016372141372141,,,,,200,52,148,0.3734916806221008,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US20Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US20Y,US Treasury yield 20 year,cosine,0.715,0.0,0.0,0.0,0.3412162162162162,,,,,200,52,148,0.1667861759662628,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US20Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US20Y,US Treasury yield 20 year,arccosh,0.7,0.0,0.0,0.0,0.2606548856548856,,,,,200,52,148,0.0773038357496261,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US20Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,US Treasury yield 20 year,cosine,0.685,0.0,0.0,0.0,,0.0,63.0,137.0,0.0,200,0,200,0.1528441280126571,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US20Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,US Treasury yield 20 year,exponential,0.62,0.0,0.0,0.0,,0.0,76.0,124.0,0.0,200,0,200,0.1238995503634214,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US20Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,US Treasury yield 20 year,arctan,0.82,0.0,0.0,0.0,,0.0,36.0,164.0,0.0,200,0,200,0.05231189858168363,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US20Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,US Treasury yield 20 year,arccosh,0.53,0.0,0.0,0.0,,0.0,94.0,106.0,0.0,200,0,200,0.06977954134345053,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US20Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US20Y,US Treasury yield 20 year,ensemble,0.95,0.0,0.0,0.0,,0.0,10.0,190.0,0.0,200,0,200,1.508827121790778,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US20Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
