event,asset,method,n,prevalence,auc,average_precision,quantile,threshold_from,threshold,accuracy,precision,recall,f1,false_alarm_rate,alarm_rate
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.85,control,0.33816,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.85,test,0.174864,0.349315,0.0,0.0,0.0,0.30137,0.150685
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.9,control,0.396864,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.9,test,0.193561,0.39726,0.0,0.0,0.0,0.205479,0.10274
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.95,control,0.450548,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.95,test,0.213711,0.445205,0.0,0.0,0.0,0.109589,0.054795
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.975,control,0.502587,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.975,test,0.222328,0.472603,0.0,0.0,0.0,0.054795,0.027397
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.99,control,0.547829,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,standalone_fanogan,146,0.5,0.222931,0.355121,0.99,test,0.247866,0.486301,0.0,0.0,0.0,0.027397,0.013699
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.7,control,0.026957,0.541096,0.521429,1.0,0.685446,0.917808,0.958904
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.7,test,0.07578,0.349315,0.25,0.150685,0.188034,0.452055,0.30137
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.75,control,0.027796,0.541096,0.521429,1.0,0.685446,0.917808,0.958904
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.75,test,0.081627,0.356164,0.216216,0.109589,0.145455,0.39726,0.253425
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.8,control,0.029128,0.547945,0.52518,1.0,0.688679,0.90411,0.952055
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.8,test,0.087528,0.328767,0.068966,0.027397,0.039216,0.369863,0.19863
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.85,control,0.030143,0.547945,0.52518,1.0,0.688679,0.90411,0.952055
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.85,test,0.09806,0.363014,0.045455,0.013699,0.021053,0.287671,0.150685
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.9,control,0.033086,0.547945,0.52518,1.0,0.688679,0.90411,0.952055
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.9,test,0.106845,0.39726,0.0,0.0,0.0,0.205479,0.10274
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.95,control,0.036048,0.547945,0.525547,0.986301,0.685714,0.890411,0.938356
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.95,test,0.117887,0.445205,0.0,0.0,0.0,0.109589,0.054795
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.975,control,0.038669,0.554795,0.530769,0.945205,0.679803,0.835616,0.890411
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.975,test,0.130066,0.472603,0.0,0.0,0.0,0.054795,0.027397
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.99,control,0.042758,0.513699,0.508929,0.780822,0.616216,0.753425,0.767123
COVID-19,USOIL,tranad,146,0.5,0.396322,0.411054,0.99,test,0.136697,0.486301,0.0,0.0,0.0,0.027397,0.013699
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.7,control,1.50751,0.376712,0.05,0.013699,0.021505,0.260274,0.136986
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.7,test,1.364179,0.253425,0.090909,0.054795,0.068376,0.547945,0.30137
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.75,control,1.522858,0.40411,0.0625,0.013699,0.022472,0.205479,0.109589
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.75,test,1.380083,0.30137,0.108108,0.054795,0.072727,0.452055,0.253425
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.8,control,1.555871,0.438356,0.090909,0.013699,0.02381,0.136986,0.075342
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.8,test,1.417283,0.328767,0.068966,0.027397,0.039216,0.369863,0.19863
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.85,control,1.583569,0.465753,0.142857,0.013699,0.025,0.082192,0.047945
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.85,test,1.477798,0.363014,0.045455,0.013699,0.021053,0.287671,0.150685
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.9,control,1.629158,0.5,0.5,0.013699,0.026667,0.013699,0.013699
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.9,test,1.531872,0.410959,0.066667,0.013699,0.022727,0.191781,0.10274
COVID-19,USOIL,usad,146,0.5,0.069056,0.32986,0.95,control,1.734782,0.5,0.0,0.0,0.0,0.0,0.0
